===================================
Host: play.litecloud.me:25565
Version: 1.12.2
Date: 20.01.2021 13-13-24
===================================
[13:13:35:179] New connection from ::ffff:127.0.0.1
[13:13:38:125] CLIENT -> SERVER: play.position {"x":7,"y":414.10507587638443,"z":7,"onGround":false}
[13:13:38:183] CLIENT -> SERVER: play.position {"x":7,"y":412.15737435885677,"z":7,"onGround":false}
[13:13:38:247] CLIENT -> SERVER: play.position {"x":7,"y":410.17022687167963,"z":7,"onGround":false}
[13:13:38:309] CLIENT -> SERVER: play.position {"x":7,"y":408.14442233424603,"z":7,"onGround":false}
[13:13:38:369] CLIENT -> SERVER: play.position {"x":7,"y":406.0807338875611,"z":7,"onGround":false}
[13:13:38:371] CLIENT -> SERVER: play.position {"x":7,"y":403.9799192098099,"z":7,"onGround":false}
[13:13:38:431] CLIENT -> SERVER: play.position {"x":7,"y":401.8427208256137,"z":7,"onGround":false}
[13:13:38:493] CLIENT -> SERVER: play.position {"x":7,"y":399.6698664091014,"z":7,"onGround":false}
[13:13:38:556] CLIENT -> SERVER: play.position {"x":7,"y":397.4620690809194,"z":7,"onGround":false}
[13:13:38:618] CLIENT -> SERVER: play.position {"x":7,"y":395.220027699301,"z":7,"onGround":false}
[13:13:38:620] CLIENT -> SERVER: play.position {"x":7,"y":392.944427145315,"z":7,"onGround":false}
[13:13:38:681] CLIENT -> SERVER: play.position {"x":7,"y":390.6359386024087,"z":7,"onGround":false}
[13:13:38:691] CLIENT <- SERVER: play.chat {"message":"{\"text\":\"\",\"extra\":[{\"text\":\"[\",\"color\":\"white\"},{\"text\":\"Captcha\",\"color\":\"red\"},{\"text\":\"] Ожидайте завершения проверки...\",\"color\":\"white\"}]}","position":0}
[13:13:38:749] CLIENT -> SERVER: play.position {"x":7,"y":388.29521983036057,"z":7,"onGround":false}
[13:13:38:807] CLIENT -> SERVER: play.position {"x":7,"y":385.92291543375336,"z":7,"onGround":false}
[13:13:38:868] CLIENT -> SERVER: play.position {"x":7,"y":383.5196571250783,"z":7,"onGround":false}
[13:13:38:873] CLIENT -> SERVER: play.position {"x":7,"y":381.0860639825768,"z":7,"onGround":false}
[13:13:38:931] CLIENT -> SERVER: play.position {"x":7,"y":378.6227427029252,"z":7,"onGround":false}
[13:13:38:994] CLIENT -> SERVER: play.position {"x":7,"y":376.1302878488667,"z":7,"onGround":false}
[13:13:39:56] CLIENT -> SERVER: play.position {"x":7,"y":373.6092820918894,"z":7,"onGround":false}
[13:13:39:117] CLIENT -> SERVER: play.position {"x":7,"y":371.0602964500516,"z":7,"onGround":false}
[13:13:39:119] CLIENT -> SERVER: play.position {"x":7,"y":368.48389052105057,"z":7,"onGround":false}
[13:13:39:179] CLIENT -> SERVER: play.position {"x":7,"y":365.8806127106296,"z":7,"onGround":false}
[13:13:39:241] CLIENT -> SERVER: play.position {"x":7,"y":363.251000456417,"z":7,"onGround":false}
[13:13:39:303] CLIENT -> SERVER: play.position {"x":7,"y":360.5955804472886,"z":7,"onGround":false}
[13:13:39:366] CLIENT -> SERVER: play.position {"x":7,"y":357.91486883834284,"z":7,"onGround":false}
[13:13:39:373] CLIENT -> SERVER: play.position {"x":7,"y":355.209371461576,"z":7,"onGround":false}
[13:13:39:429] CLIENT -> SERVER: play.position {"x":7,"y":352.47958403234446,"z":7,"onGround":false}
[13:13:39:491] CLIENT -> SERVER: play.position {"x":7,"y":349.7259923516976,"z":7,"onGround":false}
[13:13:39:553] CLIENT -> SERVER: play.position {"x":7,"y":346.94907250466366,"z":7,"onGround":false}
[13:13:39:615] CLIENT -> SERVER: play.position {"x":7,"y":344.14929105457037,"z":7,"onGround":false}
[13:13:39:677] CLIENT -> SERVER: play.position {"x":7,"y":341.32710523347896,"z":7,"onGround":false}
[13:13:39:679] CLIENT -> SERVER: play.position {"x":7,"y":338.4829631288094,"z":7,"onGround":false}
[13:13:39:691] CLIENT <- SERVER: play.chat {"message":"{\"text\":\"\",\"extra\":[{\"text\":\"[\",\"color\":\"white\"},{\"text\":\"Captcha\",\"color\":\"red\"},{\"text\":\"] Ожидайте завершения проверки...\",\"color\":\"white\"}]}","position":0}
[13:13:39:740] CLIENT -> SERVER: play.position {"x":7,"y":335.6173038662332,"z":7,"onGround":false}
[13:13:39:802] CLIENT -> SERVER: play.position {"x":7,"y":332.7305577889085,"z":7,"onGround":false}
[13:13:39:865] CLIENT -> SERVER: play.position {"x":7,"y":329.82314663313036,"z":7,"onGround":false}
[13:13:39:868] CLIENT -> SERVER: play.position {"x":7,"y":326.89548370046776,"z":7,"onGround":false}
[13:13:39:928] CLIENT -> SERVER: play.position {"x":7,"y":323.9479740264584,"z":7,"onGround":false}
[13:13:39:990] CLIENT -> SERVER: play.position {"x":7,"y":320.9810145459292,"z":7,"onGround":false}
[13:13:40:52] CLIENT -> SERVER: play.position {"x":7,"y":317.9949942550106,"z":7,"onGround":false}
[13:13:40:113] CLIENT -> SERVER: play.position {"x":7,"y":314.99029436991043,"z":7,"onGround":false}
[13:13:40:174] CLIENT -> SERVER: play.position {"x":7,"y":311.96728848251223,"z":7,"onGround":false}
[13:13:40:177] CLIENT -> SERVER: play.position {"x":7,"y":308.926342712862,"z":7,"onGround":false}
[13:13:40:237] CLIENT -> SERVER: play.position {"x":7,"y":305.86781585860473,"z":7,"onGround":false}
[13:13:40:300] CLIENT -> SERVER: play.position {"x":7,"y":302.79205954143265,"z":7,"onGround":false}
[13:13:40:362] CLIENT -> SERVER: play.position {"x":7,"y":299.699418350604,"z":7,"onGround":false}
[13:13:40:425] CLIENT -> SERVER: play.position {"x":7,"y":296.59022998359194,"z":7,"onGround":false}
[13:13:40:427] CLIENT -> SERVER: play.position {"x":7,"y":293.46482538392013,"z":7,"onGround":false}
[13:13:40:488] CLIENT -> SERVER: play.position {"x":7,"y":290.3235288762417,"z":7,"onGround":false}
[13:13:40:551] CLIENT -> SERVER: play.position {"x":7,"y":287.16665829871687,"z":7,"onGround":false}
[13:13:40:613] CLIENT -> SERVER: play.position {"x":7,"y":283.9945251327425,"z":7,"onGround":false}
[13:13:40:675] CLIENT -> SERVER: play.position {"x":7,"y":280.8074346300877,"z":7,"onGround":false}
[13:13:40:679] CLIENT -> SERVER: play.position {"x":7,"y":277.60568593748593,"z":7,"onGround":false}
[13:13:40:694] CLIENT <- SERVER: play.chat {"message":"{\"text\":\"\",\"extra\":[{\"text\":\"[\",\"color\":\"white\"},{\"text\":\"Captcha\",\"color\":\"red\"},{\"text\":\"] Ожидайте завершения проверки...\",\"color\":\"white\"}]}","position":0}
[13:13:40:737] CLIENT -> SERVER: play.position {"x":7,"y":274.3895722187362,"z":7,"onGround":false}
[13:13:40:799] CLIENT -> SERVER: play.position {"x":7,"y":271.15938077436147,"z":7,"onGround":false}
[13:13:40:860] CLIENT -> SERVER: play.position {"x":7,"y":267.9153931588742,"z":7,"onGround":false}
[13:13:40:925] CLIENT -> SERVER: play.position {"x":7,"y":264.65788529569676,"z":7,"onGround":false}
[13:13:40:932] CLIENT -> SERVER: play.position {"x":7,"y":261.38712758978284,"z":7,"onGround":false}
[13:13:40:989] CLIENT -> SERVER: play.position {"x":7,"y":258.10338503798715,"z":7,"onGround":false}
[13:13:41:52] CLIENT -> SERVER: play.position {"x":7,"y":254.80691733722742,"z":7,"onGround":false}
[13:13:41:115] CLIENT -> SERVER: play.position {"x":7,"y":251.49797899048286,"z":7,"onGround":false}
[13:13:41:177] CLIENT -> SERVER: play.position {"x":7,"y":248.1768194106732,"z":7,"onGround":false}
[13:13:41:181] CLIENT -> SERVER: play.position {"x":7,"y":244.84368302245974,"z":7,"onGround":false}
[13:13:41:238] CLIENT -> SERVER: play.position {"x":7,"y":241.49880936201055,"z":7,"onGround":false}
[13:13:41:302] CLIENT -> SERVER: play.position {"x":7,"y":238.14243317477033,"z":7,"onGround":false}
[13:13:41:366] CLIENT -> SERVER: play.position {"x":7,"y":234.77478451127493,"z":7,"onGround":false}
[13:13:41:368] CLIENT -> SERVER: play.position {"x":7,"y":231.39608882104943,"z":7,"onGround":false}
[13:13:41:429] CLIENT -> SERVER: play.position {"x":7,"y":228.00656704462844,"z":7,"onGround":false}
[13:13:41:491] CLIENT -> SERVER: play.position {"x":7,"y":224.60643570373588,"z":7,"onGround":false}
[13:13:41:553] CLIENT -> SERVER: play.position {"x":7,"y":221.19590698966115,"z":7,"onGround":false}
[13:13:41:589] CLIENT <- SERVER: play.title {"action":3,"fadeIn":5,"stay":20,"fadeOut":10}
[13:13:41:591] CLIENT <- SERVER: play.title {"action":0,"text":"{\"text\":\"LiteCloud\",\"color\":\"yellow\",\"bold\":true}"}
[13:13:41:593] CLIENT <- SERVER: play.title {"action":1,"text":"{\"text\":\"Все хорошо. Приятной игры!\",\"color\":\"white\"}"}
[13:13:41:598] CLIENT <- SERVER: play.chat {"message":"{\"text\":\"\",\"extra\":[{\"text\":\"[\",\"color\":\"white\"},{\"text\":\"Captcha\",\"color\":\"red\"},{\"text\":\"] Проверка пройдена, приятной игры!\",\"color\":\"white\"}]}","position":0}
[13:13:41:606] CLIENT -> SERVER: play.position {"x":7,"y":217.77518884986793,"z":7,"onGround":false}
[13:13:41:661] CLIENT -> SERVER: play.position {"x":7,"y":214.34448507287058,"z":7,"onGround":false}
[13:13:41:685] CLIENT <- SERVER: play.player_info {"action":4,"data":[]}
[13:13:41:687] CLIENT <- SERVER: play.entity_status {"entityId":1526565114,"entityStatus":23}
[13:13:41:689] CLIENT <- SERVER: play.respawn {"dimension":-1,"difficulty":0,"gamemode":2,"levelType":"flat"}
[13:13:41:692] CLIENT <- SERVER: play.respawn {"dimension":0,"difficulty":0,"gamemode":2,"levelType":"flat"}
[13:13:41:697] CLIENT <- SERVER: play.difficulty {"difficulty":0}
[13:13:41:699] CLIENT <- SERVER: play.abilities {"flags":0,"flyingSpeed":0.05000000074505806,"walkingSpeed":0.10000000149011612}
[13:13:41:702] CLIENT <- SERVER: play.held_item_slot {"slot":0}
[13:13:41:703] CLIENT <- SERVER: play.entity_status {"entityId":1526565114,"entityStatus":23}
[13:13:41:705] CLIENT <- SERVER: play.entity_status {"entityId":1526565114,"entityStatus":24}
[13:13:41:707] CLIENT <- SERVER: play.unlock_recipes {"action":0,"craftingBookOpen":false,"filteringCraftable":false,"recipes1":[],"recipes2":[]}
[13:13:41:712] CLIENT <- SERVER: play.position {"x":0.5,"y":60,"z":0,"yaw":0,"pitch":0,"flags":0,"teleportId":1}
[13:13:41:715] CLIENT -> SERVER: play.held_item_slot {"slotId":0}
[13:13:41:749] CLIENT -> SERVER: play.position {"x":7,"y":214.34448507287058,"z":7,"onGround":true}
[13:13:41:751] CLIENT -> SERVER: play.teleport_confirm {"teleportId":1}
[13:13:41:755] CLIENT -> SERVER: play.position_look {"x":0.5,"y":60,"z":0,"yaw":0,"pitch":0,"onGround":false}
[13:13:41:756] CLIENT -> SERVER: play.position_look {"x":0.5,"y":60,"z":0,"yaw":0,"pitch":0,"onGround":false}
[13:13:41:774] CLIENT <- SERVER: play.player_info {"action":0,"data":[{"UUID":"ad76f86b-f0b4-3eec-8ed1-f2a647eb961b","name":"shketov","properties":[{"name":"textures","value":"ewogICJ0aW1lc3RhbXAiIDogMTYxMTA2ODYxMjQ2NCwKICAicHJvZmlsZUlkIiA6ICJhNDhiYmNlNWYyYmE0NTY5OGM2MzVkOTg3MGIwYmFlNSIsCiAgInByb2ZpbGVOYW1lIiA6ICJzaGtldG92IiwKICAic2lnbmF0dXJlUmVxdWlyZWQiIDogdHJ1ZSwKICAidGV4dHVyZXMiIDogewogICAgIlNLSU4iIDogewogICAgICAidXJsIiA6ICJodHRwOi8vdGV4dHVyZXMubWluZWNyYWZ0Lm5ldC90ZXh0dXJlLzY4NWZhOTQwOTZhOGM3MTNiNTFjMzZlMmI5MWZlYjAyNzAxMjgzYjEyMGJiZDdkNTM4NjA5ODk2MzJmODMyMTciCiAgICB9CiAgfQp9","signature":"NevNDc//FKJ6XwikHqlg24Q92/g9KeeyLFMyFjBz2x1w/nd9dyGmuASsZNKIf2pcG5Nv/YbHyGXS9vjBENYXJbjbA8CkgXug0D6aTc5lSuevz4YRSrj5d4ocoA+gzSq0yMB6bChsUgL/2nkmQb+b8jwOuL1nO6u/qcg9/drgChKfxT3zi3x2XkEy17LOOLxCUydwMdpOzU/AZ7GLisZ8UVZdywi/fFiU8FsSYmSt68kX2r9q7TCJfbYIAa4qoxQJCKWLpFGubwfIItI2XwbOx+QULnWZeLl8JvjEOhmIkWVNjgSnDU/4lgDQYMwkoGYeltAyX8nfg9VeCePFkMvpyZUaeM5ua+ubWyVbjFJ3XA2S7+nWgdl2ahP34Mdkxm71S4rwo7GZozGPMvGMmAp1I9J/TDWV5fjDvF4q7TlI34OKRvON3GdKpt+fsIg6xls8x5a0l6qDChAgk1gDCoRyy5uxjpzAKZy3Jstumoh2wPOIqOFyVa7PDL/bq0diT3PIsOo6pM82d8xPvWjOCPTdyQIX6eRlKAKBm7x7eTARJt0dYoNpLJTbWBy8Btw/rNzWC55liIeSoEbz4AJ379e5bqAsfkjSOjhCZjpdD/6PzNvlJ2qpVxMX2er+anFZ43IYfIGLpryx1BUX7x8mwXqSgVCQoGqIv1uF83hPY+Aag/w="}],"gamemode":2,"ping":0}]}
[13:13:41:780] CLIENT <- SERVER: play.player_info {"action":0,"data":[{"UUID":"ad76f86b-f0b4-3eec-8ed1-f2a647eb961b","name":"shketov","properties":[{"name":"textures","value":"ewogICJ0aW1lc3RhbXAiIDogMTYxMTA2ODYxMjQ2NCwKICAicHJvZmlsZUlkIiA6ICJhNDhiYmNlNWYyYmE0NTY5OGM2MzVkOTg3MGIwYmFlNSIsCiAgInByb2ZpbGVOYW1lIiA6ICJzaGtldG92IiwKICAic2lnbmF0dXJlUmVxdWlyZWQiIDogdHJ1ZSwKICAidGV4dHVyZXMiIDogewogICAgIlNLSU4iIDogewogICAgICAidXJsIiA6ICJodHRwOi8vdGV4dHVyZXMubWluZWNyYWZ0Lm5ldC90ZXh0dXJlLzY4NWZhOTQwOTZhOGM3MTNiNTFjMzZlMmI5MWZlYjAyNzAxMjgzYjEyMGJiZDdkNTM4NjA5ODk2MzJmODMyMTciCiAgICB9CiAgfQp9","signature":"NevNDc//FKJ6XwikHqlg24Q92/g9KeeyLFMyFjBz2x1w/nd9dyGmuASsZNKIf2pcG5Nv/YbHyGXS9vjBENYXJbjbA8CkgXug0D6aTc5lSuevz4YRSrj5d4ocoA+gzSq0yMB6bChsUgL/2nkmQb+b8jwOuL1nO6u/qcg9/drgChKfxT3zi3x2XkEy17LOOLxCUydwMdpOzU/AZ7GLisZ8UVZdywi/fFiU8FsSYmSt68kX2r9q7TCJfbYIAa4qoxQJCKWLpFGubwfIItI2XwbOx+QULnWZeLl8JvjEOhmIkWVNjgSnDU/4lgDQYMwkoGYeltAyX8nfg9VeCePFkMvpyZUaeM5ua+ubWyVbjFJ3XA2S7+nWgdl2ahP34Mdkxm71S4rwo7GZozGPMvGMmAp1I9J/TDWV5fjDvF4q7TlI34OKRvON3GdKpt+fsIg6xls8x5a0l6qDChAgk1gDCoRyy5uxjpzAKZy3Jstumoh2wPOIqOFyVa7PDL/bq0diT3PIsOo6pM82d8xPvWjOCPTdyQIX6eRlKAKBm7x7eTARJt0dYoNpLJTbWBy8Btw/rNzWC55liIeSoEbz4AJ379e5bqAsfkjSOjhCZjpdD/6PzNvlJ2qpVxMX2er+anFZ43IYfIGLpryx1BUX7x8mwXqSgVCQoGqIv1uF83hPY+Aag/w="}],"gamemode":2,"ping":0}]}
[13:13:41:784] CLIENT <- SERVER: play.entity_metadata {"entityId":1526565114,"metadata":[{"key":0,"type":0,"value":0},{"key":2,"type":3,"value":""},{"key":6,"type":0,"value":0},{"key":4,"type":6,"value":false},{"key":15,"type":13,"value":{"type":"compound","name":"","value":{}}},{"key":14,"type":0,"value":1},{"key":12,"type":1,"value":0},{"key":13,"type":0,"value":0},{"key":8,"type":1,"value":0},{"key":9,"type":6,"value":false},{"key":11,"type":2,"value":0},{"key":10,"type":1,"value":0},{"key":1,"type":1,"value":300},{"key":3,"type":6,"value":false},{"key":7,"type":2,"value":20},{"key":5,"type":6,"value":false},{"key":16,"type":13,"value":{"type":"compound","name":"","value":{}}}]}
[13:13:42:0] CLIENT <- SERVER: play.position {"x":0.5,"y":60,"z":0,"yaw":0,"pitch":0,"flags":0,"teleportId":2}
[13:13:42:3] CLIENT <- SERVER: play.world_border {"action":3,"x":0,"z":0,"old_radius":100,"new_radius":100,"speed":0,"portalBoundary":1000,"warning_time":5,"warning_blocks":15}
[13:13:42:6] CLIENT <- SERVER: play.update_time {"age":[0,1787],"time":[20,1379774083]}
[13:13:42:9] CLIENT <- SERVER: play.spawn_position {"location":{"x":0,"y":60,"z":0}}
[13:13:42:12] CLIENT <- SERVER: play.window_items {"windowId":0,"items":[{"blockId":-1},{"blockId":-1},{"blockId":-1},{"blockId":-1},{"blockId":-1},{"blockId":-1},{"blockId":-1},{"blockId":-1},{"blockId":-1},{"blockId":-1},{"blockId":-1},{"blockId":-1},{"blockId":-1},{"blockId":-1},{"blockId":-1},{"blockId":-1},{"blockId":-1},{"blockId":-1},{"blockId":-1},{"blockId":-1},{"blockId":-1},{"blockId":-1},{"blockId":-1},{"blockId":-1},{"blockId":-1},{"blockId":-1},{"blockId":-1},{"blockId":-1},{"blockId":-1},{"blockId":-1},{"blockId":-1},{"blockId":-1},{"blockId":-1},{"blockId":-1},{"blockId":-1},{"blockId":-1},{"blockId":-1},{"blockId":-1},{"blockId":-1},{"blockId":-1},{"blockId":-1},{"blockId":-1},{"blockId":-1},{"blockId":-1},{"blockId":-1},{"blockId":-1}]}
[13:13:42:15] CLIENT <- SERVER: play.set_slot {"windowId":-1,"slot":-1,"item":{"blockId":-1}}
[13:13:42:17] CLIENT <- SERVER: play.set_slot {"windowId":0,"slot":0,"item":{"blockId":-1}}
[13:13:42:18] CLIENT <- SERVER: play.entity_metadata {"entityId":1526565114,"metadata":[{"key":13,"type":0,"value":127}]}
[13:13:42:21] CLIENT <- SERVER: play.entity_update_attributes {"entityId":1526565114,"properties":[{"key":"generic.movementSpeed","value":0.10000000149011612,"modifiers":[]}]}
[13:13:42:23] CLIENT <- SERVER: play.update_health {"health":20,"food":20,"foodSaturation":5}
[13:13:42:62] CLIENT -> SERVER: play.teleport_confirm {"teleportId":2}
[13:13:42:65] CLIENT -> SERVER: play.position_look {"x":0.5,"y":60,"z":0,"yaw":0,"pitch":0,"onGround":false}
[13:13:42:66] CLIENT -> SERVER: play.position_look {"x":0.5,"y":60,"z":0,"yaw":0,"pitch":0,"onGround":false}
[13:13:42:93] CLIENT <- SERVER: play.update_time {"age":[0,1794],"time":[20,1379798080]}
[13:13:42:95] CLIENT -> SERVER: play.position {"x":0.5,"y":59.9216,"z":0,"onGround":false}
[13:13:42:130] CLIENT <- SERVER: play.update_time {"age":[0,1795],"time":[20,1379798081]}
[13:13:42:150] CLIENT -> SERVER: play.position {"x":0.5,"y":59.766368,"z":0,"onGround":false}
[13:13:42:181] CLIENT <- SERVER: play.position {"x":0.5,"y":60,"z":0,"yaw":0,"pitch":0,"flags":0,"teleportId":3}
[13:13:42:183] CLIENT -> SERVER: play.teleport_confirm {"teleportId":3}
[13:13:42:184] CLIENT -> SERVER: play.position_look {"x":0.5,"y":60,"z":0,"yaw":0,"pitch":0,"onGround":false}
[13:13:42:186] CLIENT -> SERVER: play.position_look {"x":0.5,"y":60,"z":0,"yaw":0,"pitch":0,"onGround":false}
[13:13:42:275] CLIENT -> SERVER: play.position {"x":0.5,"y":59.9216,"z":0,"onGround":false}
[13:13:42:276] CLIENT -> SERVER: play.position {"x":0.5,"y":59.766368,"z":0,"onGround":false}
[13:13:42:347] CLIENT -> SERVER: play.position {"x":0.5,"y":59.535840639999996,"z":0,"onGround":false}
[13:13:42:381] CLIENT <- SERVER: play.position {"x":0.5,"y":60,"z":0,"yaw":0,"pitch":0,"flags":0,"teleportId":4}
[13:13:42:396] CLIENT -> SERVER: play.teleport_confirm {"teleportId":4}
[13:13:42:398] CLIENT -> SERVER: play.position_look {"x":0.5,"y":60,"z":0,"yaw":0,"pitch":0,"onGround":false}
[13:13:42:401] CLIENT -> SERVER: play.position_look {"x":0.5,"y":60,"z":0,"yaw":0,"pitch":0,"onGround":false}
[13:13:42:461] CLIENT -> SERVER: play.position {"x":0.5,"y":59.9216,"z":0,"onGround":false}
[13:13:42:524] CLIENT -> SERVER: play.position {"x":0.5,"y":59.766368,"z":0,"onGround":false}
[13:13:42:526] CLIENT -> SERVER: play.position {"x":0.5,"y":59.535840639999996,"z":0,"onGround":false}
[13:13:42:532] CLIENT <- SERVER: play.position {"x":0.5,"y":60,"z":0,"yaw":0,"pitch":0,"flags":0,"teleportId":5}
[13:13:42:534] CLIENT -> SERVER: play.teleport_confirm {"teleportId":5}
[13:13:42:536] CLIENT -> SERVER: play.position_look {"x":0.5,"y":60,"z":0,"yaw":0,"pitch":0,"onGround":false}
[13:13:42:537] CLIENT -> SERVER: play.position_look {"x":0.5,"y":60,"z":0,"yaw":0,"pitch":0,"onGround":false}
[13:13:42:584] CLIENT <- SERVER: play.update_time {"age":[0,1804],"time":[20,1379822080]}
[13:13:42:617] CLIENT <- SERVER: play.chat {"message":"{\"text\":\"\",\"extra\":[{\"text\":\"[\",\"color\":\"white\"},{\"text\":\"Auth\",\"color\":\"red\"},{\"text\":\"] Login - \",\"color\":\"white\"},{\"text\":\"/login \\u003cpassword\\u003e\",\"color\":\"red\"}]}","position":1}
[13:13:42:649] CLIENT -> SERVER: play.position {"x":0.5,"y":59.9216,"z":0,"onGround":false}
[13:13:42:711] CLIENT -> SERVER: play.position {"x":0.5,"y":59.766368,"z":0,"onGround":false}
[13:13:42:731] CLIENT <- SERVER: play.position {"x":0.5,"y":60,"z":0,"yaw":0,"pitch":0,"flags":0,"teleportId":6}
[13:13:42:732] CLIENT -> SERVER: play.teleport_confirm {"teleportId":6}
[13:13:42:734] CLIENT -> SERVER: play.position_look {"x":0.5,"y":60,"z":0,"yaw":0,"pitch":0,"onGround":false}
